listing_id,room_type
2595,entire home/apt
3831,entire home/apt
5099,entire home/apt
5178,private room
5238,entire home/apt
5295,entire home/apt
5441,private room
5803,private room
6021,private room
6848,entire home/apt
7097,entire home/apt
7322,private room
7726,entire home/apt
8024,private room
8025,private room
8110,private room
8490,entire home/apt
8505,private room
9518,private room
9657,entire home/apt
9668,private room
9704,private room
9782,private room
9783,private room
10452,private room
10962,private room
11708,entire home/apt
12048,shared room
12192,private room
12299,entire home/apt
12318,private room
12343,entire home/apt
12627,entire home/apt
12937,private room
12940,entire home/apt
13394,private room
13808,private room
14287,entire home/apt
14290,entire home/apt
14314,entire home/apt
14322,entire home/apt
14377,entire home/apt
14991,private room
15220,private room
15338,private room
15341,entire home/apt
15385,private room
15711,entire home/apt
16326,entire home/apt
16421,private room
16580,private room
16595,entire home/apt
16821,private room
16974,entire home/apt
17092,private room
17693,private room
17747,private room
18127,entire home/apt
18152,private room
18198,private room
18590,private room
18728,private room
18764,private room
19159,entire home/apt
19169,entire home/apt
19282,entire home/apt
19319,private room
20299,private room
20611,private room
20724,private room
20734,entire home/apt
20755,private room
20853,entire home/apt
21293,entire home/apt
21456,entire home/apt
21794,private room
22918,private room
23135,entire home/apt
23686,entire home/apt
24143,private room
25235,entire home/apt
25696,private room
26362,private room
26520,private room
26969,entire home/apt
27006,entire home/apt
27385,entire home/apt
27531,private room
27644,entire home/apt
27759,entire home/apt
29013,private room
29455,entire home/apt
29628,private room
29683,entire home/apt
30031,private room
30927,entire home/apt
31130,private room
31555,entire home/apt
31902,private room
31994,private room
32023,entire home/apt
32037,private room
32965,entire home/apt
32969,entire home/apt
33009,entire home/apt
33014,entire home/apt
33223,private room
34760,private room
35526,private room
36133,private room
36703,entire home/apt
38638,entire home/apt
39267,entire home/apt
39282,private room
39593,private room
39704,entire home/apt
41348,entire home/apt
42580,private room
42729,entire home/apt
42882,private room
43957,private room
44096,private room
44212,private room
44221,entire home/apt
44229,private room
44288,entire home/apt
44506,entire home/apt
45556,private room
45910,entire home/apt
45936,private room
45940,entire home/apt
46544,entire home/apt
46723,private room
46911,private room
47199,private room
47926,entire home/apt
48719,entire home/apt
50447,entire home/apt
51485,private room
51572,private room
51850,private room
53137,entire home/apt
53477,entire home/apt
54158,entire home/apt
54508,private room
54544,entire home/apt
54626,private room
54860,private room
55467,entire home/apt
55498,private room
55737,entire home/apt
55959,private room
56467,entire home/apt
56525,entire home/apt
56859,private room
57166,entire home/apt
57297,entire home/apt
57468,entire home/apt
57618,entire home/apt
57740,entire home/apt
57754,entire home/apt
57874,entire home/apt
58059,private room
58062,private room
58467,private room
59014,entire home/apt
59642,entire home/apt
59709,entire home/apt
60164,entire home/apt
60457,entire home/apt
60666,private room
60680,entire home/apt
60948,entire home/apt
61406,private room
61492,private room
61509,entire home/apt
62095,entire home/apt
62427,entire home/apt
62430,entire home/apt
62452,private room
62461,private room
62787,private room
62891,entire home/apt
62903,entire home/apt
62925,entire home/apt
63299,private room
63320,private room
63360,entire home/apt
63546,private room
63610,entire home/apt
63657,entire home/apt
63693,entire home/apt
64000,private room
64107,private room
64277,private room
64314,private room
64365,private room
64707,entire home/apt
64837,private room
65019,entire home/apt
65268,private room
65562,entire home/apt
65615,entire home/apt
65660,entire home/apt
65813,private room
66008,entire home/apt
66026,private room
66251,entire home/apt
66275,private room
66451,entire home/apt
66718,entire home/apt
66741,entire home/apt
66974,entire home/apt
67288,entire home/apt
67299,entire home/apt
67397,private room
68099,private room
68403,entire home/apt
68735,entire home/apt
68765,entire home/apt
68974,entire home/apt
69894,entire home/apt
69921,private room
70095,private room
